,Responses,Final Score
154,"I would tell my friends that choosing organic would be the best decision because it is much healthier for you - there as less chemical used in the process, less pesticides, and it is supporting our local farmers. ",25
170,Conventional because it is more accommodating and less expensive.,15
11,"While both sides had good points, I would say that inorganic farming may be slightly better due to the fact that much more land is needed for organic farming, that organic farming may not be able to sustain the growing population, and that organic farming may have equal, if not worse, effects on the environment in certain ways.",25
88,"With an ever increasing population, it seems as though it would be impossible to completely supply the sustenance for the entire world through organic farming. I think a combination between organic and conventional techniques would need to be utilized in order to preserve our environment while also allowing for enough crop yield to feed the human population. Some conventional farms are able to skyrocket their yields by use of synthetic chemicals, fertilizers, and inhumane means. Unfortunately, this is necessary to a certain extent to feed the overpopulated world. At what cost though? I think certain techniques such as crop rotation, minimization of chemicals, and sustainable practices should be utilized. They should be utilized particularly by the large corporations that produce the majority of the food because of their proportional impact. However, if I am honest, I eat organic foods for a vast majority of my diet due to personal beliefs.",5
187,They should just buy food separately from now on. Neither of them are right or wrong they can eat the foods that they want to eat regardless of health benefits or cost. ,0
193,The best option to tell my friends is to start thinking about food choices more critically because it can be beneficial for them and the environment.,0
101,"Based on the information provided in the video it was clear that the purpose of the video was to persuade you that organic farming is not only the right method of farming as it was the initial method of farm in the early stages but also econ-friendly because there are no pesticides to harms animals within the field. another premises of the supported claim is that organic farm's good for fighting climate change. with all that information given, i would have to say organic farming is the way to go and i'm all for. ",25
23,I think eating organic food is the best option. Because I think they have fewer preservatives and chemicals. ,20
159,"Based on what I heard in the videos, I would tell my friends that organic farming is more detrimental than it is helpful. The foods are more expensive, take longer, and do not yield as many products. This is a problem, as our population continues to grow every year. In addition, organic farming uses up much more land than industrial farming which is very harmful for the environment and causes more issues. Lastly, it costs more money because more workers are needed. ",25
78,"Organic because although more expensive, the less pesticides you are putting in your food the more you are helping your long term health. ",25
146,"I would tell my friends that we should gradually start switching to organic foods, starting with fruits, vegetables, and meats. ",10
75,Organic because they are generally healthier food.,15
118,Organic farming is very beneficial for the environment and it is important to note when purchasing food items compared to GMO's ,20
100,"Organic farming, because they cannot use conventional pesticides, it is more sustainable, and healthier as well.",25
96,"The best option is organic, if they can afford it.",15
68,based on what I have heard i would tell my friends that going organic is better.  it is essentially healthier but its more expensive,20
8,"I would personally tell them that if they want to eat organic foods but can't afford it, that they should try to grow it themselves. ",0
216,"I think choosing to go organic with only the dirty dozen is a good idea for college students. Buying everything organic is difficult because of the expense, but it does ensure that your are not getting anything that you are not supposed to be.",15
190,"I would tell my friends organic farming is the better option because it has much less additives and pesticides that are harmful to people. Although it requires more work and land, I feel that it is worth the extra effort. I personally feel that I would rather eat foods that were grown in a more natural way even if means paying slightly more. I think that organic foods are much healthier in the long run and we can avoid many diseases by consuming organic foods. Although it may be more difficult to produce and care for the organic foods, I think that it is all worth it in the end and therefore the better option. ",20
62,The best option is going organic because it maintains biodiversity. It also uses less pesticides and hardly an chemicals.,25
133,Organic because it healthier to eat foods with less chemicals.,20
26,"Eat less beef and eat more sustainable foods like chicken or, if they are up for it, try vegetarianism",0
175,I think organic farming is the way to go because it is a more humane way of handling animals while still producing the same products. ,15
218,"I would say the use of organic farming. Since organic food production avoids the use of chemicals, it doesn't show any risk of soil and underground water contamination, unlike the other farming",25
16,"The best option would be organic farming as it is the most natural way of farming. There are no herbicides, pesticides or fertilizer used. In organic farming manure is used as fertilizer, the farm is weeded instead of sprayed with pesticides, and the ecosystem is healthier with more animals from bees to foxes, making the farming process far more natural and healthy.  ",25
2,"I woud tell my friend that the best option would be organic farming. While it takes much more work and is more difficult than regular farming, organic foods are healthier for humans to consume. These foods have more nutritional value and they are free of GMOs while also not being harmful to the planet. The main con to organic farming would be that is it a lot more expensive, but in the long run I believe organic farming is the better option. ",30
224,"Organic, because it has no chemicals and less pesticides ",20
116,"I would tell my friends that both of them are right in part, but that they should both do some research concerning the other point of view. Organic farming is a great practice in theory but cannot sustain the ever growing population, but that also doesn't mean it is everything it claims to be. Do the research, and make the best decision for themselves.",5
161,"I would tell my friends that organic farming is much more beneficial for us to eat and better for the environment (less pesticides) but with the constant increase of people in our world, it may not be the smartest/most sustainable option. ",25
211,"As we are college kids, I'd tell them the best option is conventional, because it will be easier for us to afford more food.",15
30,"I wuold be honest wiht my friens, wihout trying to hurt their feelings but by also getting my point across",0
50,I would tell them to ask politely if they could just pay for their own organic food and you pay your own food since you don't eat that type of food so you shouldn't have to pay more. ,0
141,I would tell my friends that the best option is organic farming because I think that the pros definitely outweigh the cons. I do not think that the increased methane that cows produce in organic farming is that harmful to the environment. I think that conventional farming leaves a bigger impact on the enviornment. ,20
92,I would say organic because it's cheaper.,15
67,"I would say the best option is a mixture between orgainc farming and conventional farming because even though organic farming is better for biodiversity, organic farming alone is not practical and would not provide enough for the eight billion people on the planet. ",5
32,"Based on what I head in the videos i would choose the first choice in the first video.Their argument was most relatable and made the most sense
",10
219,"I would tell them that organic foods are better due to the fact there are not as many chemicals used, but to look out and do some research about the organic company first.",15
46,"I don't know, both have their pros and cons. Depends on the friend. If their more environmentally conscious, go organic. If they don't want to spend a lot, use conventional foods.",5
157,"I believe I would tell my friends that organic farming is the best option. Although the videos poked holes in some of the topics within organic farming such as the use of pesticides, I still believe organic farming is the safer option. For starters, even if organic farming does use pesticides, the risk of developing illness is much lower than conventional. Pesticides have been linked to cancers and putting the best possible ingredients in your body is my belief, as I am studying to be a nurse. I also think in terms of livestock, it is extremely important to pick organic meats as conventional slaughter houses are known to be in horrendous conditions and the quality of meat is very low. ",20
184,I would say eating green. Cutting out red meat or even trying to fund snd support farms like Farm Fair Oaks.,0
176,"I would probably tell my friends that organic farming is great in theory, but just not possible for the number of people of Earth. It also sounds like organic farming is worse for the environment than conventional farming methods",25
123,"Although organic farming may not produce as big of a crop yield than conventional farming, it focuses on sustainability of the environment which I believe is more important. Organic farming doesn't use chemical fertilizers, herbicides, and pesticides or feed additives for livestock. The manure produced by cows specifically is used to recycle waste and improve the soil structure. Other factors such as weeding...the preferred organic farming, may mean that it is more labor intensive but makes more jobs available…more economically friendly and chemical free. Overall, organic farming is the best option because it helps to maintain the biodiversity better rather than conventional farming because fewer chemicals are used. ",30
144,"I would tell them to choose organic farming because it has many positives, and they seem to outweigh the negatives.",10
98,I would tell my friends the best option is to go organic. Although it is more expensive in the end it is much healthier for you. Not only that you are supporting local farms.,25
89,To try and not buy meat items made in factories because they do not use natural alternatives which is harmful to our planet.,0
148,"I would tell my friends to be wary of foods labeled ""organic"" because the label doesn't necessarily mean ""healthier"" or ""better"" for you. The organic farming process does use more natural sources and more environmentally efficient sources however they typically can't afford for an actual FDA organic sticker, but other products that still technically meet organic requirements may refer to themselves as ""organic"" but really it's ingredients and amounts of things that you want to look at when deciding what foods to buy, not whether they are called organic or not. ",0
150,"I personally believe that an organic lifestyle is best because despite the differences in pricing between organic and conventional, your body will thank you in the long run for the benefits organic foods have.",20
20,"I would say organic food is better because even in real life I try to eat organic as much as possible. I love eating healthy and even though it may be a little more expensive, I love the organic foods that I buy. ",25
220,Organic farming because it uses less pesticides and chemicals and maintains biodiversity,20
205,conventional because you can be healthy without having to buy more expensive foods,20
87,"The best option would be to eat organically because although it may be a little more expensive and harder to find, it is healthier for the body and does not contain hazardous chemicals and pesticides. ",20
51,Organic farming because it is better for the health and for the environment ,20
115,"I would tell my friends that the best option is to choose locally grown, organic foods. the pros outweigh the cons. For people in the same socioeconomic class as me and my friends, we are not really aware of the benefits of eating locally grown foods - only that they don't fit into our budgets when grocery shopping. but not I know that an investment made into local farming will not only benefit our health, but also our local economies potentially making organic foods more popular and more available for those who may not be able to afford them",25
44,"The organic option is better for ones health and environment. Although it is more expensive, in the long run it makes more sense.",25
165,I would say conventional farming due to the fact that they  are able to chose between organic fertilizers or conventional. I also thing organic farming is riskier because if they don't use pesticides and other additives the yield won't be enough- therefore there is a 99.9% chance that when you eat organic foods they have been modified.,15
208,"Based on what I heard in the videos, its not really ""better"" to buy organic food.  is it healthier, yes but they still can us gmos.  I think that the best option is to buy some of your products organic and some not, that way it's not too expensive to take on.",5
147,I would tell my friends to choose organic farming. I already eat a to of organic foods and truly feel a difference when consuming them. I think paying more is okay when you're getting the highest quality of food.,20
6,"I believe organic food is better despite being more expensive. If we continue to buy from large companies who raise their animals in tiny boxes and feed them preservatives, they will continue to treat animals unjustly.  ",20
5,"Going organic is a healthier alternative, then eating non-organic. Everything organic is made straight up, and with no GMO's",20
107,I would say that eating organically would be the best option because it is so much better for you and the environment.,20
156,"Organic, its healthier and better for the environment. if they can afford to eat organically, I believe they should try. ",20
14,If they can afford organic definitely go organic because pesticides cann cause cancer.,15
134,"Organic is healthy, however, may cost more than general foods. Organic food production is good for the environment",25
177,"Conventional meat eating, because it maintains biodiversity, and if eaten organically, doesn't include chemicals.",0
207,"I would tell my friends that conventional farming was better because it yields more food (which we need with a growing population) and it uses less land so we don't have to clear as much vegetation/forests. However, I would say that some changes need to be made to conventional farming such as using pesticides that are less harmful and also cutting down on livestock farming and focusing more on crops.",25
84,"Organic. Because there is no pesticides, no chemicals, maintains biodiveristy, and lower yields. ",25
160,"I would probably say that organic foods aren't worth it. Especially on a larger scale, the whole planet would not be able to eat organically since the yield is so low. Plus, they still use pesticides so how organic is it really? ",20
137,"I think that buying local, organic foods are the best option because theyre fresher, better for us and better for the environment. ",25
119,i would say organic food is healthier for us and the environment ,20
64,"I feel that a meatless diet would be best due to the lack of pesticides and chemicals, and it maintains biodiversity.",0
95,I would tell my friends to only buy organic items if they know they are safer but otherwise I would recommend regular produce as long as you check the labels and they are affordable. ,5
213,"I would eat organic foods. Even though they are more expensive, they are made without artificial chemicals.",20
158,"I would say go organic because eating meat is a great source of protein and something that has always been done. Once we take eating meat out of diets, we lose a lot of essential nutrients",10
45,I would tell my friends that eating organic meal choices can benefit more than non-organic due to the freshness and quality of the food. They also contain fewer pesticides and are better for the environment. I would consider eating organic foods more often.,25
227,Everyone in part should do research until a decision is made.  I believe conventual is the same nutrients than organic.,0
197,"Organic food refers to the way farmers grow and process products with reducing pollution, enhancing soil and water quality, and promoting a healthy living condition. However, I would say that you do not have to insist on eating organic food because it is the same with regular food nutritionally. ",5
212,i would tell my friends that it would be the best option to buy organic food because it is better for you because it has no pesticides and no chemicals. ,25
12,"The best option is to eat organic because it has no chemicals and fewer pesticides, and is healthy for you and the environment. ",25
22,"I would choose organic farming because it has many beneficial effects, including being better for the environment, and not utilizing chemicals or pesticide.",25
182,I think to conventional farming is better because it takes up less land and has a bigger yield than organic farming. Scientists also say that the pesticides used are not extremely harmful to the human  body and that the cows in organic farming produce a large amount of green house gases.,25
166,I would tell them that they should consider to just stick with the conventional food. The conventional food may not b healthier for you and might have more chemicals or pesticides but it is cheaper and with organic food you can't even know for sure how chemical free it actually is every organic food has different percents. Living in house with two other people you need to consider how much you are affecting everyone in the house with your diet change and how much more we would be spending on grocies.,25
39,I would tell my friends that organic farming is the better choice to use because it is more natural and you actually know what you are buying at the super markets. Yes it is a little more expensive but it is worth getting organic healthy foods. ,25
79,"The best option is to go organic as it uses less pesticides,  no chemicals, and maintains biodiversity",25
173,I would say natural organic farming is a lot better. Even though it's a lot of labor it is better for the environment and for your self ,25
71,I would tell my friends to purchase organic produce because in the end this is the more natural way to go and i could lead to a healthier life style. I would not want to encourage the factory farms because i do not agree with the way they handle the animals  ,20
13,"I would say organic foods are the best option. This is because of the dangerous chemicals that they use to increase the growth rate and yield of the crops. even though they cost more, it is worth it in the end",25
215,"I would tell my friends that we should try to buy more organic foods. Although it is more expensive, it is better to not eat as many chemicals and pesticides.",25
140,"Buying and eating organically grown foods is always better; it is better for the environment and it is better for your body. However, I understand that eating organic is not always best for your wallet. My argument to a friend would be to convince them to eat organically WHENEVER POSSIBLE. It doesn't have to be every meal of every day, because you would be spending 10x more money on food, and that is not financially sustainable for every individual. However, the benefits are huge for eating organically grown foods at least a couple times per week. You will be eating cleaner foods, wasting less, and helping to promoting a more sustainable agriculture system.",30
167,"Personally I would tell my friends that nonorganic is the best option. I don't believe that the chemicals make all that detrimental of an effect on out health and nonorganic is significantly cheaper. Keeping in mind that we are all in college, if all our parents never ate organic food and are still fine now, hopefully we will too. Also, organic farming can't sustain the world. Regular farming can't sustain it either, but there's at least a greater, faster, and more consistent output of food.",25
199,I would choose organic farming over non organic because its more sustainable and better for the long run.,15
113,"I would say if you can afford to eat organic, then you should.",0
35,Organic because it can be better for the environment,15
47,"Organic, although it is more expensive it is better for the enviroment and better for your body",25
72,To go meatless,0
132,organic because you dont want chemicals in your body,15
168,I would tell my friends eating organic food is a good option because it helps our environment. I personally do not eat all organic but I do think it could better most of us. I think its good to not effect the earth with pesticides and to not put as much preservatives in our fruits and vegetables because I think eventually we will see a difference in eating non- organic  foods rather than all organic.,25
41,the option i would tell people to do it farm inorganically because it uses far less land that ends up becoming polluted because the overuse of the land of trying to grow crops normally when they die halfway through,20
131,I would recommend organic food because of the pesticides. ,15
77,Vegetarianism is the best option. You can get all the nutrients you need without getting harmful side effects and diseases that occur with long term meat eating.,0
188,"Organic because no chemicals added, maintains biodiversity and creates more jobs. ",25
111,"What is organic farming? Biology for all. throughout the video, the message holds a strong foundation as to why the increase of human population on this planet should sort to produce more organic food and to decrease the disease that comes from the soil. For instance, the video does mention the importance of crop rotation. It says that crop rotation is used to reduce diseases building up in the soils an to strengthen the soil composition. ",0
202,"I would say eating organic foods is a better option. I believe this because when buying organic foods, there is a better chance that the fresh products being bought are not sprayed with pesticides and other chemicals to enhance them. This is not always guaranteed however, the word organic is aiming towards the goal of being all natural and fresh. ",20
104,There are pros and cons to each,0
201,"i think organic still, just because it seems to be still the healthier option. ",15
10,I would say conventional because being able to produce enough food for the growing population is more important than the potential plusses of having an increase in bio importance and the environemnt around the crops. Also the increase in climate change due to cow methan produciton and shipping the organic foods around the world negate the positive climte impacts from organic growing. ,20
99,"I would tell my friends to chose organic farming. Although it is harder to keep up with, it can still be healthier than regular farming because of levels of pesticides. ",20
145,Organic farming is the better because this process does not contains chemicals or other added supplements to the foods we are eating. ,20
33,"I think i would tell my friend that we should look into a new way to do organic foods. If droughts are already becoming a problem, we shouldnt add to the lack of water.",0
106,"I would explain that based on healthy options organic foods will be better. They have less chemicals and that buying them could help local farms. However, I would also explain that the world will not be able to survive on organic farming alone. If we continue to try to push more towards that the worlds population could soon not have an adequate amount of food. Therefore we need to look to industries to supply adequate amounts of food for the worlds growing population. ",25
65,"I believe that organic farming may be something we want to achieve, it is very hard to obtain and keep up with. For example, the less pesticides we use the less crops we get and therefore we can not keep up with the growing population of 7.5 billion. Parts of organic farming should tried to be used, but cutting out pesticides completely would be unrealistic. ",0
40,if they can buy organic products then buy it but food is food so be grateful,0
82,I would tell my friends to eat conventional food because it is less expensive and I do not see a that great of an advantage to eat organic food,15
80,"I can't say I would want to try to sway my friends' thinking one way or another, honestly the best option might be for each of us to purchase the groceries that we want to eat. ",0
186,"I would tell my friends that organic foods are better. They have no harmful chemicals, and are better for the environment. They create better environments for animal life, and results in more jobs. Organic foods also use manure which is better for the land in comparison to chemicals. ",25
48,Organic because it is made naturally and nothing manufactured is added.  ,15
109,"I would tell them that the person buying organic food should be allowed to make that choice, but should instead buy their own groceries and keep their food to themselves to prevent housemates for under/overpaying.",0
221,"I would say organic is the best option because it's healthier for us. Although organic farmers can still use pesticides, they use less of them.",20
214,"conventional is not any worse for environment than organic. both have pros and cons and if less money, buy conventional.",5
55,"I would advise my friends to eat organically, because the health benefits of eating from an organic diet are far greater than eating with a conventional diet.",15
57,I would tell my friends that the best option is to eat organic food because it is better for the environment and better for their health.,20
164,Conventional food is the best option because it is cheaper and maintains biodiversity,20
3,"I wouldn't tell my friends that one is better than the other, I would just inform them about each and the pros/cons that coincide with both sides. So, based on that, I would focus more on the pros that organic faming and eating has. I think a big aspect that attracts organic consumers is the fact there are no chemical and less pesticides used while farming. It is also understandable that the cost factor may limit consumers to choose certain products, but due to the way that organic farmers produce, upkeep and maintain their food, I can see why organic prices would be higher.",5
171,eat meat because it is a good source of protein,0
38,"I would recommend they stay conventional, regardless of the video. I don't agree with going organic.",10
58,"I think that organic is the best option due to the fact that it is much healthier for your body. The pesticides on foods are generally not good for human health and although organic may be more expensive, it is better in terms of our long term health. ",25
91,Conventional farming because I believe it would be very difficult and expensive to supply a whole population with organic foods.  Also there are some environmental problems also present in organic farming.,20
4,I think it really depends on what products they are buying. in some instances buying organic makes better sense and others it does not.,5
217,"I think that the best option is to have industrial farming because not only is it cheaper but there are so many negatives to organic farming. There is more methane gas which is terrible for global warming, Its more expensive, and there is lesser yield. If there is lesser yield than you would have to produce way more than you would have to if you were industrial farming. More organic farming, more methane gas.",25
